"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","746626","*19735496"
"2","Total No. of patients tested Positive","2034","761108"
"3","No. of patients discharged","1616","742866"
"4","Total Deaths reported","11","17757"
"5","Sample collected on the day","","10320"
"6","Test conducted on the day","","9874"
"7","Positive cases on the day","","104"
"8","Number of active Cases","","485"
"9","No. of Patients on oxygen support","","15"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218657"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117414"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","25"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210486"
"18","Frontline Workers vaccinated with 2nd dose on the day","","69"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013446"
"20","Above 45 Vaccinated with 1st dose on the day","","564"
"21","Total Above 45 Vaccinated with 1st dose","","8321799"
"22","Above 45 Vaccinated with 2nd dose on the day","","8869"
"23","Total Above 45 Vaccinated with 2nd dose","","7375254"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1309"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12579603"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","16057"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10092029"
"28","15-17 years age group Vaccinated with 1st dose on the day","","259"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1082106"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1573"
"31","Total 15-17 years age group Vaccinated with 2nddose","","739968"
"32","12-14 years age group Vaccinated with 1st dose on the day","","511"
"33","Total 12-14 years age group Vaccinated with 1st dose","","589396"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1905"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","315168"
"36","Precautionary dose given on the day","","4137"
"37","Total Precautionary dose given","","698826"
"38","Total Vaccination 1st dose on the day","","1880"
"39","Total Vaccination 2nd dose on the day","","25020"
"40","Total Vaccination 1st and 2nd dose on the day","","26900"
