"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23351","","5284","","28635",""
"2","Total Active Cases","66 
(0.28%)","","00 
(0%)","","66 
(0.23%)",""
"3","Total Cured/Discharged","23117 
(98.99%)","","5224 
(98.9%)","","28341 
(98.97%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","37","","00","","37",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","08","","00","","08",""
"9","No. of Samples Tested (Today)","116","","22","","138",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","110","","22","","132",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","50 
13 
03 
00 
66"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(16/07/2022)","","Test Done Today 
(17/07/2022)","","Cumulative"
"","","a)RTPCR","329706","","80","","329786"
"","","b)TRUENAT","14535","","07","","14542"
"","","c)RAT","352205","","51","","352256"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","697551","","138","","697689"
