"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17386","","3619","","21005",""
"2","Total Active Cases","93 
(0.53%)","","05 
(0.14%)","","98 
(0.5%)",""
"3","Total Cured/ Discharged","17142 
(98.6%)","","3556 
(98.3%)","","20698 
(98.5%)",""
"4","Total Died","151 
(0.87%)","","58 
(1.60%)","","209 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","0","","14",""
"6","Total Positive cases in Home Isolation","72","","05","","77",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","07","","0","","07",""
"9","No. of Samples Tested (Today)","184","","58","","242",""
"10","No. of Samples Positive (Today)","10","","00","","10",""
"11","No. of Samples Negative (Today)","174","","58","","232",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","46 
         00 
    00 
         08 
         54"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(03/11/2021)","","Test Done Today 
(04/11/2021)","","Cumulative"
"","","a)  RTPCR","216607","","199                   216806","",""
"","","b)  TRUENAT","10988","","01","","10989"
"","","c)  RAT","328886","","42","",""
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","556628","","242","","556870"
