"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17715","","3634","","21349",""
"2","Total Active Cases","203 
(1.15%)","","15 
(0.41%)","","218 
(1.01%)",""
"3","Total Cured/ Discharged","17358 
(97.98%)","","3561                                  
(97.9%)","","(97.99%)",""
"4","Total Died","154 
(0.87%)","","58 
(1.6%)","","212 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","25","","00","","25",""
"6","Total Positive cases in Home Isolation","145","","15","","160",""
"7","COVID Care Centre","14","","0","","14",""
"8","Facility Isolation","19","","0","","19",""
"9","No. of Samples Tested (Today)","387","","334","","721",""
"10","No. of Samples Positive (Today)","18","","04","","22",""
"11","No. of Samples Negative (Today)","367","","330","","697",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","68 
           60 
       00 
          125 
          253"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(21/11/2021)","","Test Done Today 
(22/11/2021)","","Cumulative"
"","","a)  RTPCR","223000","","381","","223381"
"","","b)  TRUENAT","11031","","03","","11034"
"","","c)  RAT","330147","","337","","330484"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","564325","","721","","565046"
