"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19243","","3836","","23079",""
"2","Total Active Cases","603 
(3.13%)","","66 
(1.7%)","","669 
(2.9%)",""
"3","Total Cured/ Discharged","18476 
(96.0%)","","3712                                  
(96.5%)","","(96.1%)",""
"4","Total Died","164 
(0.85%)","","58 
(1.5%)","","222 
(0.96%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","00","","22",""
"6","Total Positive cases in Home Isolation","439","","66","","505",""
"7","COVID Care Centre","84","","0","","84",""
"8","Facility Isolation","58","","0","","58",""
"9","No. of Samples Tested (Today)","804","","228","","1032",""
"10","No. of Samples Positive (Today)","86","","20","","106",""
"11","No. of Samples Negative (Today)","714","","208","","922",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","369 
          00 
      00 
          97 
          466"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(13/01/2022)","","Test Done Today 
(14/01/2022)","","Cumulative"
"","","a)  RTPCR","261760","","843","","262603"
"","","b)  TRUENAT","11361","","11","","11372"
"","","c)  RAT","340963","","178","","341141"
"","","d)  CBNAAT","198","","00","","198"
"","","TOTAL","614282","","1032","","615314"
