"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","694698","290","40851","0","411","128","38313","2127"
"2","ALWAR","1375198","970","67216","1","310","375","60893","6013"
"3","BANSWARA","270262","69","10675","0","104","36","10011","560"
"4","BARAN","190680","84","12463","1","62","0","11947","454"
"5","BARMER","362530","330","18091","0","188","77","15567","2336"
"6","BHARATPUR","419993","161","23185","0","260","80","19976","2949"
"7","BHILWARA","443755","362","31992","0","156","166","30076","1760"
"8","BIKANER","646726","326","44591","0","547","193","40951","3093"
"9","BUNDI","198117","33","8229","0","48","11","7953","228"
"10","CHITTORGARH","402283","244","21966","0","139","79","20355","1472"
"11","CHURU","366414","31","17478","0","108","18","16713","657"
"12","DAUSA","239495","99","14214","0","63","83","13448","703"
"13","DHOLPUR","245449","112","11571","0","48","17","11018","505"
"14","DUNGARPUR","288849","125","19403","0","131","57","18459","813"
"15","GANGANAGAR","366472","159","20393","0","151","30","19347","895"
"16","HANUMANGARH","436766","347","17547","0","111","47","16079","1357"
"17","JAIPUR","2840099","2327","218807","3","1988","2375","196743","20076"
"18","JAISALMER","222734","94","14569","0","66","53","13703","800"
"19","JALORE","408309","20","10094","0","73","1","9997","24"
"20","JHALAWAR","327637","101","14357","0","190","76","13694","473"
"21","JHUNJHUNU","424590","82","15366","0","161","42","14728","477"
"22","JODHPUR","1249202","701","120913","0","1106","711","115164","4643"
"23","KARAULI","201035","89","7287","0","71","0","7093","123"
