"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","17,228"
"2","Number of persons tested positive today in Tamil Nadu","2,340"
"3","Total Number of persons tested positive till date","35,15,461"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","34,541/ 
6,76,54,804@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","33,675/ 
6,64,63,065"
"6","No. of Male / Female / Transgender tested positive today","1,304/1,036/0"
"7","No. of Male / Female / Transgender tested positive till date","20,49,659/14,65,764/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,599/ 
34,60,204"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,029"
