"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,393"
"2","Number of persons tested positive today in Tamil Nadu","439"
"3","Total Number of persons tested positive till date","34,49,007"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","60,707/ 
6,43,42,340@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","60,304/ 
6,31,69,131"
"6","No. of Male / Female / Transgender tested positive today","258/181/0"
"7","No. of Male / Female / Transgender tested positive till date","20,13,067/14,35,902/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
$
264
 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,209/ 
34,04,611"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,003"
