"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17988","","3654","","21642",""
"2","Total Active Cases","280 
(1.6%)","","26 
(0.7%)","","306 
(1.4%)",""
"3","Total Cured/ Discharged","17552 
(97.6%)","","3570                                  
(97.7%)","","(97.6%)",""
"4","Total Died","156 
(0.87%)","","58 
(1.6%)","","214 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","02","","23",""
"6","Total Positive cases in Home Isolation","226","","24","","250",""
"7","COVID Care Centre","16","","0","","16",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","816","","383","","1199",""
"10","No. of Samples Positive (Today)","39","","02","","41",""
"11","No. of Samples Negative (Today)","773","","381","","1154",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","280 
           00 
       00 
            07 
          287"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(01/12/2021)","","Test Done Today 
(02/12/2021)","","Cumulative"
"","","a)  RTPCR","232543","","981","","233524"
"","","b)  TRUENAT","11062","","12","","11074"
"","","c)  RAT","332864","","206","","333070"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","576641","","1199","","577840"
