"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","639761","0","37842","0","410","1","37417","15"
"2","ALWAR","1282062","2","59738","0","307","0","59407","24"
"3","BANSWARA","240997","0","10005","0","104","0","9901","0"
"4","BARAN","169068","0","11997","0","61","0","11936","0"
"5","BARMER","336308","0","15580","0","185","0","15387","8"
"6","BHARATPUR","388485","0","19604","0","260","0","19341","3"
"7","BHILWARA","405044","0","29783","0","156","1","29627","0"
"8","BIKANER","605340","0","40387","0","546","0","39819","22"
"9","BUNDI","181339","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","368843","0","19809","0","139","0","19670","0"
"11","CHURU","326596","0","16721","0","107","0","16614","0"
"12","DAUSA","216427","0","13354","0","62","0","13291","1"
"13","DHOLPUR","229296","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","256804","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","343378","0","19357","0","150","0","19205","2"
"16","HANUMANGARH","392885","0","16066","0","111","0","15943","12"
"17","JAIPUR","2587168","6","188131","0","1971","16","186039","121"
"18","JAISALMER","209459","0","13646","0","66","0","13578","2"
"19","JALORE","382891","0","10067","0","72","0","9995","0"
"20","JHALAWAR","295115","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","386615","0","14819","0","158","0","14654","7"
"22","JODHPUR","1172602","0","112429","0","1103","0","111318","8"
"23","KARAULI","176038","0","7156","0","70","0","7086","0"
"24","KOTA","905327","0","57055","0","449","1","56606","0"
"25","NAGAUR","503256","0","17759","0","177","2","17579","3"
"26","PALI","359853","0","27329","0","287","0","27040","2"
"27","PRATAPGARH","217255","0","7143","0","63","0","7080","0"
"28","RAJSAMAND","238394","1","17047","0","169","0","16877","1"
