"S. No","Subject","Number"
"1","Total Number of people vaccinated on 24th Feb","2,61,830"
"2","First Dose on 24th Feb","19,429"
"3","Second Dose on 24th Feb","2,27,914"
"4","Precaution Dose on 24th Feb","14,487"
"5","Cumulative Vaccination till 24th Feb","12,86,33,199"
"6","Cumulative Vaccination First Dose","6,96,38,728"
"7","Cumulative Vaccination Second Dose","5,74,11,880"
"8","Cumulative Precaution Dose","15,82,591"
"9","Number of CVC (Common Vaccination Centres)","3,817"
"10","Cumulative AEFI cases reported","6,946"
"11","Vaccine wastage","-7%"
