"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","111","109888","97","107586","1","2280","22"
"2","SAS Nagar","175","95866","118","94651","0","1148","67"
"3","Jalandhar","80","78354","66","76766","0","1578","10"
"4","Patiala","188","62222","57","60629","0","1458","135"
"5","Amritsar","36","59431","25","57733","0","1682","16"
"6","Bathinda","29","50899","22","49800","0","1088","11"
"7","Hoshiarpur","47","40885","56","39788","0","1096","1"
"8","Gurdaspur","11","26950","11","26084","1","865","1"
"9","Pathankot","28","24563","32","24065","0","495","3"
"10","Fazilka","15","23413","24","22863","0","545","5"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","21","22054","19","21471","1","583","0"
"13","Ropar","9","17947","7","17490","0","455","2"
"14","Ferozepur","7","17906","9","17369","0","537","0"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","19","16805","23","16464","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","18","13420","19","13007","0","409","4"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","1","10506","0","394","1"
"22","Barnala","5","7503","10","7153","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","820","759905","620","741870","4","17751","284"
