"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","360563","19349424"
"2","Total No. of patients tested Positive","820","759905"
"3","No. of patients discharged","620","741870"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","11800"
"6","Test conducted on the day","","11657"
"7","Positive cases on the day","","23"
"8","Number of active Cases","","284"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218571"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117090"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209653"
"18","Frontline Workers vaccinated with 2nd dose on the day","","10"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010527"
"20","Above 45 Vaccinated with 1st dose on the day","","64"
"21","Total Above 45 Vaccinated with 1st dose","","8283940"
"22","Above 45 Vaccinated with 2nd dose on the day","","2289"
"23","Total Above 45 Vaccinated with 2nd dose","","7042414"
"24","18-44 years age group Vaccinated with 1st dose on the day","","245"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12474496"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4890"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9424655"
"28","15-17 years age group Vaccinated with 1st dose on the day","","180"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1042490"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","494"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","624663"
"32","12-14 years age group Vaccinated with 1st dose on the day","","911"
"33","Total 12-14 years age group Vaccinated with 1st dose","","485246"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","768"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","151625"
"36","Precautionary dose given on the day","","788"
"37","Total Precautionary dose given","","566973"
"38","Total Vaccination 1st dose on the day","","310"
"39","Total Vaccination 2nd dose on the day","","7197"
"40","Total Vaccination 1st and 2nd dose on the day","","7507"
