"Sr.No.","Description","From 1st April 2022","Till Date"
"1","Total Samples taken","950671","19939549"
"2","Total No. of patients tested Positive","4840","763875"
"3","No. of patients discharged","3813","745063"
"4","Total Deaths reported","35","17781"
"5","Sample collected on the day","","12575"
"6","Test conducted on the day","","11994"
"7","Positive cases on the day","","190"
"8","Number of active Cases","","1031"
"9","No. of Patients on oxygen support","","32"
"10","Patients at critical care Level-3 facilities","","4"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","8"
"13","Total Healthcare Workers vaccinated with 1st dose","","218720"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117543"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","26"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210930"
"18","Frontline Workers vaccinated with 2nd dose on the day","","64"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015089"
"20","Above 45 Vaccinated with 1st dose on the day","","264"
"21","Total Above 45 Vaccinated with 1st dose","","8328910"
"22","Above 45 Vaccinated with 2nd dose on the day","","6403"
"23","Total Above 45 Vaccinated with 2nd dose","","7497316"
"24","18-44 years age group Vaccinated with 1st dose on the day","","924"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12600160"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","13406"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10334651"
"28","15-17 years age group Vaccinated with 1st dose on the day","","497"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1090149"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2596"
"31","Total 15-17 years age group Vaccinated with 2nddose","","778450"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1065"
"33","Total 12-14 years age group Vaccinated with 1st dose","","601445"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2533"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","351578"
"36","Precautionary dose given on the day","","2517"
"37","Total Precautionary dose given","","757357"
"38","Total Vaccination 1st dose on the day","","1203"
"39","Total Vaccination 2nd dose on the day","","19899"
"40","Total Vaccination 1st and 2nd dose on the day","","21102"
