"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","779238","2","49711","0","446","2","49259","6"
"2","ALWAR","1578450","2","84451","0","320","4","84118","13"
"3","BANSWARA","310669","0","14762","0","106","1","14651","5"
"4","BARAN","228581","0","15245","0","64","0","15180","1"
"5","BARMER","400231","0","21454","0","205","0","21247","2"
"6","BHARATPUR","475975","0","31450","0","272","0","31174","4"
"7","BHILWARA","502307","0","38176","0","162","0","38014","0"
"8","BIKANER","727405","0","49888","0","586","0","49296","6"
"9","BUNDI","228290","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","448036","0","29374","0","140","1","29224","10"
"11","CHURU","429222","0","20819","0","114","2","20701","4"
"12","DAUSA","285751","0","15773","0","80","0","15693","0"
"13","DHOLPUR","275529","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326796","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420210","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486032","0","22516","0","114","1","22393","9"
"17","JAIPUR","3333253","9","274373","0","2111","16","272161","101"
"18","JAISALMER","241245","0","17036","0","68","0","16968","0"
"19","JALORE","440563","0","10545","0","78","0","10467","0"
"20","JHALAWAR","377429","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","489195","0","19158","0","181","0","18977","0"
"22","JODHPUR","1397861","6","141061","0","1164","6","139876","21"
"23","KARAULI","235823","0","8968","0","84","0","8884","0"
