"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","635001","2","37836","0","410","2","37406","20"
"2","ALWAR","1264544","0","59721","0","307","3","59405","9"
"3","BANSWARA","235556","0","10005","0","104","0","9901","0"
"4","BARAN","165134","0","11997","0","61","0","11936","0"
"5","BARMER","334101","3","15579","0","185","0","15386","8"
"6","BHARATPUR","386231","0","19601","0","260","0","19341","0"
"7","BHILWARA","399175","0","29783","0","156","0","29626","1"
"8","BIKANER","601563","1","40382","0","546","1","39808","28"
"9","BUNDI","178404","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","364950","0","19809","0","139","0","19670","0"
"11","CHURU","321882","0","16721","0","107","0","16614","0"
"12","DAUSA","213500","0","13354","0","62","0","13291","1"
"13","DHOLPUR","227559","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","253707","2","18412","0","131","0","18276","5"
"15","GANGANAGAR","338489","0","19357","0","150","0","19205","2"
"16","HANUMANGARH","384792","0","16056","0","111","0","15942","3"
"17","JAIPUR","2568626","12","188067","0","1971","9","185991","105"
"18","JAISALMER","208029","0","13646","0","66","3","13578","2"
"19","JALORE","378559","0","10067","0","72","0","9995","0"
"20","JHALAWAR","288872","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","378949","1","14813","0","158","0","14653","2"
"22","JODHPUR","1166796","0","112426","0","1103","2","111316","7"
"23","KARAULI","173131","0","7156","0","70","0","7086","0"
