"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24025","","5338","","29363",""
"2","Total Active Cases","21 
(0.09%)","","00 
(0%)","","21 
(0.07%)",""
"3","Total Cured/Discharged","23833 
(99.2%)","","5278 
(98.9%)","","29111 
(99.14%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","16","","00","","16",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","102","","07","","109",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","102","","07","","109",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
00 
02 
00 
44"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(09/10/2022)","","Test Done Today 
(10/10/2022)","","Cumulative"
"","","a)RTPCR","339989","","63","","340052"
"","","b)TRUENAT","15400","","19","","15419"
"","","c)RAT","363839","","27","","363866"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","720453","","109","","720562"
