"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,888"
"2","Number of persons tested positive today in Tamil Nadu","670"
"3","Total Number of persons tested positive till date","35,60,161"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,040/ 
6,85,73,418@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","21,731/ 
6,73,63,333"
"6","No. of Male / Female / Transgender tested positive today","410/260/0"
"7","No. of Male / Female / Transgender tested positive till date","20,76,057/14,84,066/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","927/ 
35,15,240"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
