"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22977","","5281","","28258",""
"2","Total Active Cases","04 
(0.02%)","","01 
(0.02%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22805 
(99.3%)","","5220 
(98.8%)","","28025 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","02","","01","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","116","","22","","138",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","115","","22","","137",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
13 
12 
03 
81"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(18/05/2022)","","Test Done Today 
(19/05/2022)","","Cumulative"
"","","a)RTPCR","321398","","85","","321483"
"","","b)TRUENAT","13921","","17","","13938"
"","","c)RAT","348860","","36","","348896"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","685284","","138","","685422"
