"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19497","18225","1007","265"
"2","Chengalpattu","228211","213796","11786","2629"
"3","Chennai","736806","698342","29494","8970"
"4","Coimbatore","318288","294088","21626","2574"
"5","Cuddalore","73088","69609","2593","886"
"6","Dharmapuri","35328","32525","2521","282"
"7","Dindigul","36937","34669","1610","658"
"8","Erode","128681","119550","8406","725"
"9","Kallakurichi","36149","34303","1634","212"
"10","Kancheepuram","92492","87243","3961","1288"
"11","Kanyakumari","83978","76083","6816","1079"
"12","Karur","28946","26838","1738","370"
"13","Krishnagiri","58200","52190","5642","368"
"14","Madurai","90024","85352","3456","1216"
"15","Mayiladuthurai","26104","24789","993","322"
"16","Nagapattinam","24879","23091","1419","369"
"17","Namakkal","65927","60489","4910","528"
"18","Nilgiris","40766","38306","2236","224"
"19","Perambalur","14273","13506","519","248"
"20","Pudukottai","33858","31971","1464","423"
"21","Ramanathapuram","24293","22820","1107","366"
"22","Ranipet","52945","49224","2936","785"
"23","Salem","123655","113509","8398","1748"
"24","Sivagangai","23187","22078","893","216"
"25","Tenkasi","32491","29983","2018","490"
"26","Thanjavur","90607","84302","5277","1028"
"27","Theni","50144","47262","2353","529"
"28","Thirupathur","35243","32489","2123","631"
"29","Thiruvallur","144442","137722","4806","1914"
"30","Thiruvannamalai","65739","61532","3526","681"
"31","Thiruvarur","46990","44566","1957","467"
"32","Thoothukudi","64377","61850","2089","438"
"33","Tirunelveli","61755","57823","3488","444"
"34","Tiruppur","124715","111636","12037","1042"
"35","Trichy","92991","87639","4211","1141"
"36","Vellore","56782","54646","974","1162"
"37","Villupuram","53693","50375","2954","364"
"38","Virudhunagar","56092","52537","3003","552"
"39","Airport Surveillance 
(International)","1224","1206","17","1"
"40","Airport Surveillance 
(Domestic)","1104","1102","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","33,75,329","31,59,694","1,77,999","37,636"
