"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,77,999"
"2","Number of persons tested positive today in Tamil Nadu","14,013"
"3","Total Number of persons tested positive till date","33,75,329"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,31,258/ 
6,20,16,582@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,23,066/ 
6,09,25,013"
"6","No. of Male / Female / Transgender tested positive today","8,387/5,626/0"
"7","No. of Male / Female / Transgender tested positive till date","19,69,482/14,05,809/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","24,576/ 
31,59,694"
"10","Total number of deaths today/ till date","37(22 Private &  
15 Govt) /37,636"
