"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229232","223293","5894","45"
"12","Nashik","478580","469538","8918","124"
"13","Ahmednagar","380748","373437","7251","60"
"14","Jalgaon","150217","147440","2762","15"
"15","Nandurbar","46977","46007","963","7"
"16","Dhule","51450","50775","670","5"
"17","Aurangabad","178696","174375","4288","33"
"18","Jalna","67526","66274","1226","26"
"19","Beed","109715","106823","2889","3"
"20","Latur","106466","103921","2489","56"
"21","Parbhani","58799","57516","1281","2"
"22","Hingoli","22453","21927","517","9"
"23","Nanded","103306","100594","2705","7"
"24","Osmanabad","76799","74612","2139","48"
"25","Amravati","107031","105380","1626","25"
"26","Akola","66993","65487","1476","30"
"27","Washim","47410","46717","641","52"
"28","Buldhana","93170","92317","839","14"
"29","Yavatmal","82641","80814","1820","7"
"30","Nagpur","585824","576453","9224","147"
"31","Wardha","66350","64934","1410","6"
"32","Bhandara","69881","68720","1142","19"
"33","Gondia","45995","45391","588","16"
"34","Chandrapur","100100","98454","1598","48"
