"S. No","Subject","Number"
"1","Total Number of people vaccinated on 7th Feb","21,646"
"2","First Dose on 7th Feb","1,415"
"3","Second Dose on 7th Feb","16,623"
"4","Precaution Dose on 7th Feb","3,608"
"5","Cumulative Vaccination till 7th Feb","12,22,78,568"
"6","Cumulative Vaccination First Dose","6,91,83,352"
"7","Cumulative Vaccination Second Dose","5,19,97,518"
"8","Cumulative Precaution Dose","10,97,698"
"9","Number of CVC (Common Vaccination Centres)","892"
"10","Cumulative AEFI cases reported","6,821"
"11","Vaccine wastage","-7%"
