,Unnamed: 0,44,Unnamed: 1,बहराइच,Unnamed: 2,2,Unnamed: 3,13,Unnamed: 4,13394,Unnamed: 5,0,Unnamed: 6,178,Unnamed: 7,15,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,फरु्रखाबाद,,1.0,,1.0,,11865.0,,0.0,,197.0,,15.0,,,,,
1,,46,,इटावा,,0.0,,0.0,,15760.0,,0.0,,296.0,,14.0,,,,,
2,,47,,हमीरपरु,,1.0,,5.0,,6037.0,,0.0,,102.0,,14.0,,,,,
3,,48,,अयोध्या,,2.0,,1.0,,18656.0,,0.0,,293.0,,12.0,,,,,
4,,49,,बस्ती,,4.0,,1.0,,12773.0,,0.0,,336.0,,12.0,,,,,
5,,50,,गोंडा,,1.0,,1.0,,14098.0,,0.0,,284.0,,12.0,,,,,
6,,51,,महोबा,,0.0,,1.0,,4458.0,,0.0,,88.0,,12.0,,,,,
7,,52,,पीलीभीत,,3.0,,0.0,,12713.0,,0.0,,205.0,,12.0,,,,,
8,,53,,सीतापरु,,2.0,,0.0,,15739.0,,0.0,,187.0,,11.0,,,,,
9,,54,,अमठेी,,3.0,,0.0,,11471.0,,0.0,,145.0,,9.0,,,,,
10,,55,,लसद्धाथ ुनगर,,0.0,,16.0,,11515.0,,0.0,,102.0,,9.0,,,,,
11,,56,,भदोही,,0.0,,0.0,,8461.0,,0.0,,165.0,,8.0,,,,,
12,,57,,चचत्रकूट,,3.0,,5.0,,7745.0,,0.0,,79.0,,8.0,,,,,
13,,58,,मजुफ्फरनगर,,1.0,,5.0,,38307.0,,0.0,,277.0,,8.0,,,,,
14,,59,,औरैय्या,,2.0,,1.0,,10775.0,,0.0,,211.0,,7.0,,,,,
15,,60,,बललया,,0.0,,-1.0,,22507.0,,0.0,,245.0,,7.0,,,,,
16,,61,,बबजनौर,,0.0,,0.0,,18276.0,,0.0,,139.0,,7.0,,,,,
17,,62,,गाजीपरु,,1.0,,1.0,,23862.0,,0.0,,295.0,,7.0,,,,,
18,,63,,मऊ,,0.0,,4.0,,8926.0,,0.0,,86.0,,7.0,,,,,
19,,64,,बलरामपरु,,0.0,,2.0,,8106.0,,0.0,,139.0,,6.0,,,,,
20,,65,,हापड़ु,,0.0,,1.0,,15182.0,,0.0,,224.0,,6.0,,,,,
21,,66,,रामपरु,,0.0,,0.0,,14599.0,,0.0,,153.0,,6.0,,,,,
22,,67,,चदंौली,,0.0,,3.0,,17522.0,,0.0,,378.0,,5.0,,,,,
23,,68,,शामली,,0.0,,2.0,,16686.0,,0.0,,48.0,,5.0,,,,,
24,,69,,कानपरु देहात,,1.0,,1.0,,7121.0,,0.0,,110.0,,4.0,,,,,
25,,70,,श्रावस्ती,,0.0,,1.0,,5231.0,,0.0,,41.0,,3.0,,,,,
26,,71,,बदाय,,0.0,,3.0,,17909.0,,0.0,,101.0,,2.0,,,,,
27,,72,,हाथरस,,0.0,,2.0,,3714.0,,0.0,,43.0,,2.0,,,,,
28,,73,,कासगजं,,0.0,,1.0,,4879.0,,0.0,,55.0,,2.0,,,,,
29,,74,,मरुादाबाद,,0.0,,0.0,,46066.0,,0.0,,367.0,,2.0,,,,,
30,,75,,लमर्ाुपरु,,0.0,,0.0,,11949.0,,0.0,,126.0,,1.0,,,,,
31,,Total,,,,,,,259.0,,488.0,,2042319.0,,2.0,,23470.0,,2774.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23470 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
