"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,041"
"2","Number of persons tested positive today in Tamil Nadu","724"
"3","Total Number of persons tested positive till date","27,30,516"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,068/ 
5,47,83,973@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,820/ 
5,38,50,322"
"6","No. of Male / Female / Transgender tested positive today","430/294/0"
"7","No. of Male / Female / Transgender tested positive till date","15,93,772/11,36,706/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","314 (69 Govt+ 
245 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","743/ 
26,85,946"
"10","Total number of deaths today/ till date","10(5 Private &  
5 Govt) /36,529)"
