"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","258"
"2","Number of persons tested positive today in Tamil Nadu","30"
"3","Total Number of persons tested positive till date","34,52,985"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,079/ 
6,57,35,610@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","22,070/ 
6,45,59,038"
"6","No. of Male / Female / Transgender tested positive today","13/17/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,218/14,37,729/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","28/ 
34,14,702"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
