"Total No. of Sample Taken Today","8863"
"Total No. of Positive Cases Detected Today","58"
"Total Active COVID-19 Patients","332"
"Total No. of Active Cases under Home Isolation (23-09-2022)","299"
"Total No. of Samples found Positive till date","1054644"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1043586"
"No. of Deaths","10703"
"Total No. of People Vaccinated Today","1323 
(1st Dose: 234 
2nd Dose: 184 
Precaution Dose: 905)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23662262 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19801434 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1886507"
"Cumulative Coverage of Total COVID-19 Vaccination","45350203"
"COVID-19 Today (23-09-2022) Positivity Rate","0.71%"
"Recovery Rate","98.95%"
"Fatality Rate","1.01%"
