"Total No. of Sample Taken Today","25393"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","559"
"Total Active COVID-19 Patients","3659"
"Total No. of Active Cases under Home Isolation (19-02-2022)","3105"
"Total No. of Samples found Positive till date 
Total Omicron Cases:830 (Active – 0, Discharged - 830)","977870"
"Total Positive COVID-19 Patients Recovered / Discharged till date","963666"
"No. of Deaths","10522"
"Total No. of People Vaccinated today","56184 
(1st Dose: 9677, 
2nd Dose: 44154 
Precaution Dose: 2353)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22802873 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 84% for 18yrs above population)","17758561 (84%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","222040"
"Cumulative Coverage of Total COVID-19 Vaccination","40783474"
"COVID-19 Today (19-02-2022) Positivity Rate","2.23%"
"Recovery Rate","98.55%"
"Fatality Rate","1.08%"
"Tests Per Million Population","646235"
