"S. No","Subject","Number"
"1","Total Number of people vaccinated on 15th Feb","3,76,094"
"2","First Dose on 15th Feb","25,247"
"3","Second Dose on 15th Feb","3,19,197"
"4","Precaution Dose on 15th Feb","31,650"
"5","Cumulative Vaccination till 15th Feb","12,58,49,834"
"6","Cumulative Vaccination First Dose","6,94,32,445"
"7","Cumulative Vaccination Second Dose","5,50,04,853"
"8","Cumulative Precaution Dose","14,12,536"
"9","Number of CVC (Common Vaccination Centres)","4,074"
"10","Cumulative AEFI cases reported","6,887"
"11","Vaccine wastage","-7%"
