"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22954","","5278","","28232",""
"2","Total Active Cases","06 
(0.03%)","","03 
(0.06%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","22780 
(99.2%)","","5215 
(98.8%)","","27995 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","03","","03","","06",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","113","","16","","129",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","110","","16","","126",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","56 
00 
00 
19 
75"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(07/04/2022)","","Test Done Today 
(08/04/2022)","","Cumulative"
"","","a)RTPCR","317511","","80","","317591"
"","","b)TRUENAT","13162","","24","","13186"
"","","c)RAT","347788","","25","","347813"
"","","d)  CBNAAT","1066","","00","","1066"
"","","TOTAL","679527","","129","","679656"
