"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,751"
"2","Number of persons tested positive today in Tamil Nadu","809"
"3","Total Number of persons tested positive till date","27,14,025"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,034/ 
5,25,42,503@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,723/ 
5,16,14,834"
"6","No. of Male / Female / Transgender tested positive today","437/372/0"
"7","No. of Male / Female / Transgender tested positive till date","15,84,002/11,29,985/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","934/ 
26,68,001"
"10","Total number of deaths today/ till date","14(5 Private &  
9 Govt) /36,273)"
