"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22943","","5275","","28218",""
"2","Total Active Cases","18 
(0.08%)","","00 
(0%)","","18 
(0.06%)",""
"3","Total Cured/ Discharged","22757 
(99.2%)","","5215                                  
(98.9%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","14","","00","","14",""
"7","COVID Care Centre","04","","00","","04",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","352","","17","","369",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","351","","17","","368",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","122 
        00 
        00 
        50 
       273"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(25/03/2022)","","Test Done Today 
(26/03/2022)","","Cumulative"
"","","a)  RTPCR","314593","","339","","314932"
"","","b)  TRUENAT","12863","","22","","12885"
"","","c)  RAT","347413","","08","","347421"
"","","d)  CBNAAT","945","","00","","945"
"","","TOTAL","675814","","369","","676183"
