"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22963","","5280","","28243",""
"2","Total Active Cases","04 
(0.02%)","","00 
(0%)","","04 
(0.01%)",""
"3","Total Cured/Discharged","22791 
(99.3%)","","5220 
(98.9%)","","28011 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","02","","00","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","114","","26","","140",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","113","","26","","139",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","78 
00 
00 
16 
94"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(21/04/2022)","","Test Done Today 
(22/04/2022)","","Cumulative"
"","","a)RTPCR","318982","","116","","319098"
"","","b)TRUENAT","13424","","13","","13437"
"","","c)RAT","348049","","11","","348060"
"","","d)  CBNAAT","1079","","00","","1079"
"","","TOTAL","681534","","140","","681674"
