"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24018","","5338","","29356",""
"2","Total Active Cases","21 
(0.09%)","","00 
(0%)","","21 
(0.07%)",""
"3","Total Cured/Discharged","23826 
(99.2%)","","5278 
(98.9%)","","29104 
(99.14%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","16","","00","","16",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","97","","15","","112",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","91","","15","","106",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
02 
00 
53"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(05/10/2022)","","Test Done Today 
(06/10/2022)","","Cumulative"
"","","a)RTPCR","39635","","71","","39706"
"","","b)TRUENAT","15337","","07","","15344"
"","","c)RAT","363653","","34","","363687"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719850","","112","","719962"
