"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","868","13","0","0","84"
"2","ALWAR","1609","28","0","34","115"
"3","BANSWARA","83","0","0","0","7"
"4","BARAN","305","0","0","0","5"
"5","BARMER","95","0","0","0","4"
"6","BHARATPUR","217","3","0","5","16"
"7","BHILWARA","297","6","0","0","26"
"8","BIKANER","655","3","0","4","37"
"9","BUNDI","189","0","0","3","5"
"10","CHITTORGARH","335","4","0","0","59"
"11","CHURU","259","0","0","0","0"
"12","DAUSA","550","14","0","1","91"
"13","DHOLPUR","254","0","0","0","10"
"14","DUNGARPUR","157","3","0","0","29"
"15","GANGANAGAR","293","0","0","1","4"
"16","HANUMANGARH","333","1","0","0","10"
"17","JAIPUR","1778","14","0","0","327"
"18","JAISALMER","32","0","0","0","13"
"19","JALORE","175","0","0","0","3"
"20","JHALAWAR","467","2","0","3","10"
"21","JHUNJHUNU","502","0","0","0","11"
"22","JODHPUR","763","29","0","27","98"
"23","KARAULI","258","1","0","0","5"
"24","KOTA","947","13","0","8","54"
"25","NAGAUR","462","0","0","4","33"
"26","PALI","449","3","0","0","48"
