,Unnamed: 0,44,Unnamed: 1,बबजनौर,Unnamed: 2,1,Unnamed: 3,0,Unnamed: 4,14669,Unnamed: 5,0.1,Unnamed: 6,126,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,क्रिरोजाबाद,,1.0,,0.0,,8586.0,,0.0,,135.0,,2.0,,,,,
1,,46,,हापड़ु,,0.0,,0.0,,12423.0,,0.0,,217.0,,2.0,,,,,
2,,47,,हरदोई,,1.0,,0.0,,13408.0,,0.0,,349.0,,2.0,,,,,
3,,48,,कन्नौज,,0.0,,0.0,,9114.0,,0.0,,115.0,,2.0,,,,,
4,,49,,मऊ,,1.0,,0.0,,8253.0,,0.0,,80.0,,2.0,,,,,
5,,50,,पीलीभीत,,2.0,,0.0,,10839.0,,0.0,,193.0,,2.0,,,,,
6,,51,,अमठेी,,0.0,,0.0,,9830.0,,0.0,,143.0,,1.0,,,,,
7,,52,,इटावा,,1.0,,0.0,,13640.0,,0.0,,293.0,,1.0,,,,,
8,,53,,फतहेपरु,,0.0,,0.0,,6679.0,,0.0,,139.0,,1.0,,,,,
9,,54,,हमीरपरु,,0.0,,0.0,,5137.0,,0.0,,102.0,,1.0,,,,,
10,,55,,हाथरस,,0.0,,0.0,,2877.0,,0.0,,43.0,,1.0,,,,,
11,,56,,कासगजं,,0.0,,0.0,,4197.0,,0.0,,53.0,,1.0,,,,,
12,,57,,कौशाम्बी,,0.0,,0.0,,4356.0,,0.0,,70.0,,1.0,,,,,
13,,58,,लखीमपरु-खीरी,,0.0,,0.0,,24125.0,,0.0,,292.0,,1.0,,,,,
14,,59,,लललतपरु,,0.0,,0.0,,12621.0,,0.0,,128.0,,1.0,,,,,
15,,60,,मनैपरुी,,1.0,,0.0,,9851.0,,0.0,,182.0,,1.0,,,,,
16,,61,,लमर्ाुपरु,,1.0,,0.0,,10973.0,,0.0,,116.0,,1.0,,,,,
17,,62,,प्रतापगढ़,,0.0,,0.0,,15875.0,,0.0,,163.0,,1.0,,,,,
18,,63,,श्रावस्ती,,0.0,,0.0,,4353.0,,0.0,,35.0,,1.0,,,,,
19,,64,,अम्बडेकर नगर,,0.0,,0.0,,4888.0,,0.0,,152.0,,0.0,,,,,
20,,65,,बादा,,0.0,,0.0,,10832.0,,0.0,,161.0,,0.0,,,,,
21,,66,,भदोही,,0.0,,0.0,,7558.0,,0.0,,163.0,,0.0,,,,,
22,,67,,चचत्रकट,,0.0,,0.0,,7031.0,,0.0,,79.0,,0.0,,,,,
23,,68,,जालौन,,0.0,,0.0,,11489.0,,0.0,,202.0,,0.0,,,,,
24,,69,,जौनपरु,,0.0,,0.0,,22350.0,,0.0,,235.0,,0.0,,,,,
25,,70,,कुशीनगर,,0.0,,1.0,,15390.0,,0.0,,228.0,,0.0,,,,,
26,,71,,महोबा,,0.0,,0.0,,4182.0,,0.0,,86.0,,0.0,,,,,
27,,72,,सतं कबीर नगर,,0.0,,0.0,,8064.0,,0.0,,98.0,,0.0,,,,,
28,,73,,लसद्धाथ ुनगर,,0.0,,0.0,,9275.0,,0.0,,100.0,,0.0,,,,,
29,,74,,सीतापरु,,0.0,,0.0,,12214.0,,0.0,,185.0,,0.0,,,,,
30,,75,,सलु्तानपरु,,0.0,,0.0,,14780.0,,0.0,,138.0,,0.0,,,,,
31,,Total,,,,,,,383.0,,31.0,,1687859.0,,0.0,,22915.0,,1211.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22915 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
