"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22965","","5280","","28245",""
"2","Total Active Cases","06 
(0.03%)","","00 
(0%)","","06 
(0.02%)",""
"3","Total Cured/Discharged","22791 
(99.2%)","","5220 
(98.9%)","","28011 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","05","","00","","05",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","174","","10","","184",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","172","","10","","182",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","35 
00 
00 
12 
47"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(24/04/2022)","","Test Done Today 
(25/04/2022)","","Cumulative"
"","","a)RTPCR","319307","","153","","319460"
"","","b)TRUENAT","13473","","14","","13487"
"","","c)RAT","348089","","17","","348106"
"","","d)  CBNAAT","1079","","00","","1079"
"","","TOTAL","681948","","184","","682132"
