"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1699446*","20689910*"
"2","Total No. of patients tested Positive","23788","784316"
"3","No. of patients discharged","23225","763499"
"4","Total Deaths reported","194","20499"
"5","Sample collected on the day","","6037"
"6","Test conducted on the day","","5925"
"7","Positive cases on the day","","67"
"8","Number of active Cases","","318"
"9","No. of Patients on oxygen support","","10"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218876"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117920"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211913"
"18","Frontline Workers vaccinated with 2nd dose on the day","","7"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019114"
"20","Above 45 Vaccinated with 1st dose on the day","","60"
"21","Total Above 45 Vaccinated with 1st dose","","8345886"
"22","Above 45 Vaccinated with 2nd dose on the day","","252"
"23","Total Above 45 Vaccinated with 2nd dose","","7647912"
"24","18-44 years age group Vaccinated with 1st dose on the day","","291"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12657990"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","844"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10684084"
"28","15-17 years age group Vaccinated with 1st dose on the day","","96"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113650"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","368"
"31","Total 15-17 years age group Vaccinated with 2nddose","","858334"
"32","12-14 years age group Vaccinated with 1st dose on the day","","221"
"33","Total 12-14 years age group Vaccinated with 1st dose","","673047"
"34","12-14 years age group Vaccinated with 2nddose on the day","","518"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","473869"
"36","Precautionary dose given on the day","","4877"
"37","Total Precautionary dose given","","1712039"
"38","Total Vaccination 1st dose on the day","","352"
"39","Total Vaccination 2nd dose on the day","","1104"
"40","Total Vaccination 1st and 2nd dose on the day","","1456"
