,Unnamed: 0,44,Unnamed: 1,चचत्रकूट,Unnamed: 2,1,Unnamed: 3,3,Unnamed: 4,7777,Unnamed: 5,0,Unnamed: 6,79,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,एटा,,0.0,,0.0,,12105.0,,0.0,,100.0,,2.0,,,,,
1,,46,,मजुफ्फरनगर,,0.0,,1.0,,38332.0,,0.0,,277.0,,2.0,,,,,
2,,47,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
3,,48,,सोनभद्र,,1.0,,0.0,,18658.0,,0.0,,257.0,,2.0,,,,,
4,,49,,सलु्तानपरु,,0.0,,0.0,,16868.0,,0.0,,144.0,,2.0,,,,,
5,,50,,बागपत,,0.0,,0.0,,11067.0,,0.0,,144.0,,1.0,,,,,
6,,51,,बादा,,0.0,,1.0,,12062.0,,0.0,,166.0,,1.0,,,,,
7,,52,,बस्ती,,0.0,,0.0,,12803.0,,0.0,,337.0,,1.0,,,,,
8,,53,,भदोही,,0.0,,1.0,,8487.0,,0.0,,165.0,,1.0,,,,,
9,,54,,फतहेपरु,,0.0,,2.0,,8312.0,,0.0,,141.0,,1.0,,,,,
10,,55,,कासगजं,,1.0,,0.0,,4887.0,,0.0,,55.0,,1.0,,,,,
11,,56,,प्रतापगढ़,,0.0,,0.0,,16755.0,,0.0,,163.0,,1.0,,,,,
12,,57,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
13,,58,,शाहजहांपरु,,0.0,,1.0,,24406.0,,0.0,,447.0,,1.0,,,,,
14,,59,,सीतापरु,,0.0,,0.0,,15767.0,,0.0,,187.0,,1.0,,,,,
15,,60,,अमठेी,,0.0,,1.0,,11518.0,,0.0,,145.0,,0.0,,,,,
16,,61,,अयोध्या,,0.0,,0.0,,18681.0,,0.0,,293.0,,0.0,,,,,
17,,62,,बदाय,,0.0,,0.0,,17914.0,,0.0,,101.0,,0.0,,,,,
18,,63,,बललया,,0.0,,0.0,,22518.0,,0.0,,246.0,,0.0,,,,,
19,,64,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
20,,65,,बहराइच,,0.0,,0.0,,13417.0,,0.0,,178.0,,0.0,,,,,
21,,66,,देवररया,,0.0,,0.0,,22409.0,,0.0,,230.0,,0.0,,,,,
22,,67,,गाजीपरु,,0.0,,0.0,,23878.0,,0.0,,295.0,,0.0,,,,,
23,,68,,हाथरस,,0.0,,0.0,,3719.0,,0.0,,43.0,,0.0,,,,,
24,,69,,कानपरु देहात,,0.0,,0.0,,7127.0,,0.0,,111.0,,0.0,,,,,
25,,70,,कौशाम्बी,,0.0,,0.0,,4880.0,,0.0,,72.0,,0.0,,,,,
26,,71,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,0.0,,,,,
27,,72,,मऊ,,0.0,,0.0,,8940.0,,0.0,,86.0,,0.0,,,,,
28,,73,,पीलीभीत,,0.0,,0.0,,12730.0,,0.0,,205.0,,0.0,,,,,
29,,74,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,1.0,,5236.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,361.0,,255.0,,2050443.0,,0.0,,23508.0,,1742.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23508 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
