"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","35","5","0","2","39"
"2","ALWAR","79","0","0","0","32"
"3","BANSWARA","50","0","0","2","2"
"4","BARAN","16","1","0","0","3"
"5","BARMER","2","0","0","0","0"
"6","BHARATPUR","15","0","0","1","0"
"7","BHILWARA","5","0","0","0","3"
"8","BIKANER","108","0","0","2","13"
"9","BUNDI","8","0","0","2","5"
"10","CHITTORGARH","4","0","0","5","9"
"11","CHURU","0","0","0","0","0"
"12","DAUSA","57","1","0","0","5"
"13","DHOLPUR","16","0","0","0","0"
"14","DUNGARPUR","1","0","0","0","1"
"15","GANGANAGAR","2","0","0","0","2"
"16","HANUMANGARH","11","0","0","0","0"
"17","JAIPUR","550","13","0","12","73"
"18","JAISALMER","0","0","0","0","0"
"19","JALORE","46","0","0","1","1"
"20","JHALAWAR","219","0","0","0","2"
"21","JHUNJHUNU","12","0","0","0","0"
"22","JODHPUR","81","12","0","9","31"
"23","KARAULI","40","1","0","0","1"
"24","KOTA","203","0","0","3","46"
"25","NAGAUR","15","0","0","1","4"
"26","PALI","58","0","0","5","6"
