"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,070"
"2","Number of persons tested positive today in Tamil Nadu","726"
"","Passengers returned from other countries  by 
International airport tested positive today","UK - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal – 3 
Bihar - 1"
"","Total","731"
"3","Total Number of persons tested positive till date","27,29,792"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,06,505/ 
5,46,81,905@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,06,254/ 
5,37,48,502"
"6","No. of Male / Female / Transgender tested positive today","422/309/0"
"7","No. of Male / Female / Transgender tested positive till date","15,93,342/11,36,412/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","314 (69 Govt+ 
245 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","753/ 
26,85,203"
"10","Total number of deaths today/ till date","6(2 Private &  
4 Govt) /36,519)"
