"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1387","33","0","42","130"
"2","ALWAR","1587","116","0","142","535"
"3","BANSWARA","208","1","0","3","17"
"4","BARAN","375","0","0","1","2"
"5","BARMER","67","0","0","0","2"
"6","BHARATPUR","750","128","0","62","400"
"7","BHILWARA","874","6","0","4","49"
"8","BIKANER","794","12","0","1","39"
"9","BUNDI","347","7","0","0","69"
"10","CHITTORGARH","861","21","0","56","135"
"11","CHURU","686","0","0","0","0"
"12","DAUSA","675","12","2","23","103"
"13","DHOLPUR","163","7","0","3","19"
"14","DUNGARPUR","324","3","0","6","62"
"15","GANGANAGAR","232","1","0","4","5"
"16","HANUMANGARH","369","7","0","2","12"
"17","JAIPUR","3034","269","0","158","1411"
"18","JAISALMER","176","2","0","0","26"
"19","JALORE","143","1","0","4","15"
"20","JHALAWAR","451","7","0","0","24"
"21","JHUNJHUNU","1049","0","0","0","1"
"22","JODHPUR","682","13","0","20","109"
"23","KARAULI","732","0","1","0","0"
"24","KOTA","765","15","0","17","64"
"25","NAGAUR","743","14","0","6","102"
"26","PALI","853","1","0","4","75"
