"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18222","","3664","","21886",""
"2","Total Active Cases","155 
(0.85%)","","12 
(0.33%)","","167 
(0.76%)",""
"3","Total Cured/ Discharged","17909 
(98.3%)","","3594                                  
(98.1%)","","(98.3%)",""
"4","Total Died","158 
(0.87%)","","58 
(1.6%)","","216 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","107","","12","","119",""
"7","COVID Care Centre","21","","0","","21",""
"8","Facility Isolation","12","","0","","12",""
"9","No. of Samples Tested (Today)","445","","241","","686",""
"10","No. of Samples Positive (Today)","18","","03","","21",""
"11","No. of Samples Negative (Today)","427","","238","","665",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","351 
           00 
       00 
            14 
          365"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(15/12/2021)","","Test Done Today 
(16/12/2021)","","Cumulative"
"","","a)  RTPCR","242171","","450","","242621"
"","","b)  TRUENAT","11158","","04","","11162"
"","","c)  RAT","335821","","232","","336053"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","589322","","686","","590008"
