"S. No","Subject","Number"
"1","Total Number of people vaccinated on 23rd Feb","3,19,382"
"2","First Dose on 23rd Feb","23,906"
"3","Second Dose on 23rd Feb","2,79,418"
"4","Precaution Dose on 23rd Feb","16,058"
"5","Cumulative Vaccination till 23rd Feb","12,83,71,369"
"6","Cumulative Vaccination First Dose","6,96,19,299"
"7","Cumulative Vaccination Second Dose","5,71,83,966"
"8","Cumulative Precaution Dose","15,68,104"
"9","Number of CVC (Common Vaccination Centres)","4,351"
"10","Cumulative AEFI cases reported","6,942"
"11","Vaccine wastage","-7%"
