"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","782629","2","49722","0","446","0","49271","5"
"2","ALWAR","1591923","0","84453","0","320","0","84133","0"
"3","BANSWARA","313918","0","14763","0","106","0","14657","0"
"4","BARAN","231288","0","15247","0","64","0","15183","0"
"5","BARMER","401396","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476184","0","31450","0","272","0","31178","0"
"7","BHILWARA","504673","0","38177","0","162","0","38014","1"
"8","BIKANER","733496","0","49901","0","586","0","49313","2"
"9","BUNDI","230688","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","449882","0","29374","0","140","0","29234","0"
"11","CHURU","431950","0","20819","0","114","0","20705","0"
"12","DAUSA","287863","0","15775","0","80","0","15694","1"
"13","DHOLPUR","278201","1","13755","0","49","0","13702","4"
"14","DUNGARPUR","327178","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421350","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","487051","0","22516","0","114","0","22402","0"
"17","JAIPUR","3361817","13","274603","0","2111","16","272371","121"
"18","JAISALMER","241842","0","17036","0","68","0","16968","0"
"19","JALORE","442337","0","10545","0","78","0","10467","0"
"20","JHALAWAR","385361","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","490914","0","19158","0","181","0","18977","0"
"22","JODHPUR","1410901","0","141088","0","1164","0","139920","4"
"23","KARAULI","236218","0","8968","0","84","0","8884","0"
