"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,077"
"2","Number of persons tested positive today in Tamil Nadu","182"
"","Passengers returned from other countries  by 
International airport tested positive today","Kenya-1 
USA-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1"
"","Total","185"
"3","Total Number of persons tested positive till date","34,56,697"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,081/ 
6,67,44,812@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,038/ 
6,55,67,274"
"6","No. of Male / Female / Transgender tested positive today","99/86/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,273/14,39,386/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","129/ 
34,17,595"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
