"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
Sl. No,"District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40674","1","40305","2","0","367","0"
"2","Ballari","2","115493","3","113696","34","0","1761","2"
"3","Belagavi","5","100102","2","99045","55","0","1000","2"
"4","Bengaluru Rural","1","79270","0","78343","21","0","906","0"
"5","Bengaluru Urban","122","1779857","147","1760636","2283","0","16937","1"
"6","Bidar","0","29804","0","29376","4","0","420","4"
"7","Chamarajanagara","4","43613","0","43067","11","0","524","11"
"8","Chikkaballapura","0","55605","9","55141","4","0","459","1"
"9","Chikkamagaluru","5","57231","2","56804","21","0","406","0"
"10","Chitradurga","5","46218","3","45928","51","0","239","0"
"11","Dakshina 
Kannada","3","135437","2","133564","26","0","1837","10"
"12","Davanagere","1","57531","1","56902","6","0","623","0"
"13","Dharwada","2","84051","5","82643","24","1","1381","3"
"14","Gadag","0","30583","4","30242","6","0","335","0"
"15","Hassana","2","143851","0","142533","11","0","1305","2"
"16","Haveri","1","26835","1","26158","9","0","668","0"
"17","Kalaburagi","3","76580","12","75667","34","0","879","0"
"18","Kodagu","2","49256","7","48862","41","0","352","1"
"19","Kolara","1","62972","3","62293","15","0","664","0"
"20","Koppala","0","41280","0","40737","5","0","538","0"
"21","Mandya","1","101471","0","100752","10","1","709","0"
"22","Mysuru","6","229372","0","226734","81","0","2557","0"
"23","Raichuru","2","45446","1","45073","11","0","362","0"
"24","Ramanagara","4","29772","0","29415","10","0","347","0"
"25","Shivamogga","1","83287","0","82093","65","0","1128","1"
"26","Tumakuru","4","159797","7","158530","51","0","1216","0"
"27","Udupi","0","95588","4","95029","13","0","546","0"
"28","Uttara Kannada","1","71146","7","70320","18","0","808","0"
"29","Vijayapura","0","40992","1","40470","5","0","517","0"
"30","Yadagiri","3","29958","0","29736","10","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","181","3943108","222","3900127","2937","2","40006","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 09-03-2022 
Page 5 of 8","","","","","","","","",""
