"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22887","","5273","","28160",""
"2","Total Active Cases","69 
(0.30%)","","00 
(0.0%)","","69 
(0.25%)",""
"3","Total Cured/ Discharged","22650 
(98.96%)","","5213                                  
(98.9%)","","(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","20","","00","","20",""
"7","COVID Care Centre","44","","00","","44",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","414","","141","","555",""
"10","No. of Samples Positive (Today)","07","","00","","07",""
"11","No. of Samples Negative (Today)","399","","141","","540",""
"12","Repeat Positive/ Resampling (Today)","08","","00","","08",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","243 
        00 
        00 
        02 
       245"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(10/03/2022)","","Test Done Today 
(11/03/2022)","","Cumulative"
"","","a)  RTPCR","309560","","514","","310074"
"","","b)  TRUENAT","12535","","17","","12552"
"","","c)  RAT","347096","","23","","347119"
"","","d)  CBNAAT","840","","01","","841"
"","","TOTAL","670031","","555","","670586"
