"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23933","","5337","","29270",""
"2","Total Active Cases","29 
(0.12%)","","00 
(0%)","","29 
(0.1%)",""
"3","Total Cured/Discharged","23734 
(99.17%)","","5277 
(98.9%)","","29011 
(99.12%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","26","","00","","26",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","95","","118","","213",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","94","","118","","212",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
57 
01 
00 
109"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(09/09/2022)","","Test Done Today 
(10/09/2022)","","Cumulative"
"","","a)RTPCR","37586","","149","","37735"
"","","b)TRUENAT","15060","","08","","15068"
"","","c)RAT","362823","","56","","362879"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","716694","","213","","716907"
