"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","753054","60","49351","0","440","101","48400","511"
"2","ALWAR","1492159","46","84127","0","319","167","83259","549"
"3","BANSWARA","292654","58","14297","0","106","167","13304","887"
"4","BARAN","213453","15","15113","1","64","46","14880","169"
"5","BARMER","391143","10","21377","1","203","15","20929","245"
"6","BHARATPUR","458492","25","31284","1","272","29","30763","249"
"7","BHILWARA","483605","17","37971","0","161","43","37433","377"
"8","BIKANER","695366","30","49508","1","581","131","48664","263"
"9","BUNDI","218007","8","9696","0","55","30","9618","23"
"10","CHITTORGARH","438563","25","29243","0","140","57","29065","38"
"11","CHURU","402913","23","20550","0","114","83","20230","206"
"12","DAUSA","267844","18","15722","0","76","38","15549","97"
"13","DHOLPUR","266749","23","13686","0","49","4","13511","126"
"14","DUNGARPUR","321313","31","25409","0","134","36","25153","122"
"15","GANGANAGAR","403170","89","27842","0","156","188","27029","657"
"16","HANUMANGARH","468700","25","22297","0","114","51","22066","117"
"17","JAIPUR","3142156","349","270524","0","2102","859","264053","4369"
"18","JAISALMER","237177","36","16935","0","68","49","16575","292"
"19","JALORE","430739","0","10503","0","78","3","10417","8"
"20","JHALAWAR","353332","25","17547","1","205","34","17216","126"
"21","JHUNJHUNU","465858","38","18854","0","179","92","18304","371"
"22","JODHPUR","1345637","90","140098","0","1161","199","138469","468"
"23","KARAULI","223794","42","8794","0","83","20","8572","139"
