"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","225"
"2","Number of persons tested positive today in Tamil Nadu","23"
"3","Total Number of persons tested positive till date","34,53,233"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,053/ 
6,59,22,451@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,044/ 
6,47,45,785"
"6","No. of Male / Female / Transgender tested positive today","10/13/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,350/14,37,845/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","26/ 
34,14,983"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
