"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","762841","5","49641","0","444","14","49050","147"
"2","ALWAR","1524235","0","84345","0","320","31","83961","64"
"3","BANSWARA","298361","28","14653","0","106","11","14382","165"
"4","BARAN","218602","9","15221","0","64","11","15090","67"
"5","BARMER","395036","7","21437","0","205","7","21185","47"
"6","BHARATPUR","464747","0","31378","0","272","0","31055","51"
"7","BHILWARA","489767","10","38139","0","161","9","37928","50"
"8","BIKANER","708444","9","49793","0","584","5","49090","119"
"9","BUNDI","221807","0","9715","0","55","2","9655","5"
"10","CHITTORGARH","443236","0","29342","0","140","46","29180","22"
"11","CHURU","411394","1","20722","0","114","0","20518","90"
"12","DAUSA","273921","3","15757","0","78","3","15662","17"
"13","DHOLPUR","270249","0","13731","0","49","13","13668","14"
"14","DUNGARPUR","324404","0","25489","0","134","0","25337","18"
"15","GANGANAGAR","410843","6","28065","0","158","86","27817","90"
"16","HANUMANGARH","474239","1","22405","0","114","16","22227","64"
"17","JAIPUR","3207703","110","273054","0","2108","462","269416","1530"
"18","JAISALMER","239065","0","17025","0","68","81","16915","42"
"19","JALORE","434891","1","10524","0","78","3","10428","18"
"20","JHALAWAR","360621","3","17670","0","207","9","17419","44"
"21","JHUNJHUNU","472945","6","19113","0","179","7","18801","133"
"22","JODHPUR","1364385","20","140730","0","1163","11","139408","159"
"23","KARAULI","228482","5","8954","0","84","0","8804","66"
