"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1291425","20281888"
"2","Total No. of patients tested Positive","15685","776246"
"3","No. of patients discharged","12596","752871"
"4","Total Deaths reported","86","20392"
"5","Sample collected on the day","","13396"
"6","Test conducted on the day","","13188"
"7","Positive cases on the day","","465"
"8","Number of active Cases","","2983"
"9","No. of Patients on oxygen support","","113"
"10","Patients at critical care Level-3 facilities","","15"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218811"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1117748"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","33"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211581"
"18","Frontline Workers vaccinated with 2nd dose on the day","","78"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017777"
"20","Above 45 Vaccinated with 1st dose on the day","","272"
"21","Total Above 45 Vaccinated with 1st dose","","8338673"
"22","Above 45 Vaccinated with 2nd dose on the day","","3529"
"23","Total Above 45 Vaccinated with 2nd dose","","7600505"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1166"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12632313"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","7163"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10569881"
"28","15-17 years age group Vaccinated with 1st dose on the day","","484"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1104347"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1678"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","832095"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1256"
"33","Total 12-14 years age group Vaccinated with 1st dose","","646866"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","2222"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","433821"
"36","Precautionary dose given on the day","","25098"
"37","Total Precautionary dose given","","1190512"
"38","Total Vaccination 1st dose on the day","","1452"
"39","Total Vaccination 2nd dose on the day","","10803"
"40","Total Vaccination 1st and 2nd dose on the day","","12255"
