"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23294","","5284","","28578",""
"2","Total Active Cases","51 
(0.22%)","","00 
(0%)","","51 
(0.18%)",""
"3","Total Cured/Discharged","23075 
(99%)","","5224 
(98.9%)","","28299 
(99%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","00","","12",""
"6","Total Positive cases in Home Isolation","37","","00","","37",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","166","","33","","199",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","160","","33","","193",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","43 
15 
13 
09 
80"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(11/07/2022)","","Test Done Today 
(12/07/2022)","","Cumulative"
"","","a)RTPCR","329032","","107","","329139"
"","","b)TRUENAT","14474","","13","","14487"
"","","c)RAT","351446","","79","","351525"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","696057","","199","","696256"
