"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22679","","5268","","27947",""
"2","Total Active Cases","228 
(1.0%)","","20 
(0.4%)","","248 
(0.9%)",""
"3","Total Cured/ Discharged","22283 
(98.3%)","","5188                                  
(98.5%)","","(98.3%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","08","","0","","08",""
"6","Total Positive cases in Home Isolation","117","","20","","137",""
"7","COVID Care Centre","103","","00","","103",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","504","","114","","618",""
"10","No. of Samples Positive (Today)","19","","00","","19",""
"11","No. of Samples Negative (Today)","484","","114","","598",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","337 
        00 
        00 
        31 
       368"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(23/01/2022)","","Test Done Today 
(24/02/2022)","","Cumulative"
"","","a)  RTPCR","300966","","494","","301460"
"","","b)  TRUENAT","12203","","13","","12216"
"","","c)  RAT","346320","","102","","346422"
"","","d)  CBNAAT","803","","09","","812"
"","","TOTAL","660292","","618","","660910"
