"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","93","109870","71","107560","1","2280","30"
"2","SAS Nagar","113","95804","75","94608","0","1148","48"
"3","Jalandhar","70","78344","53","76753","0","1578","13"
"4","Patiala","52","62088","36","60608","0","1458","22"
"5","Amritsar","28","59423","20","57728","0","1682","13"
"6","Bathinda","23","50893","16","49794","0","1088","11"
"7","Hoshiarpur","47","40885","51","39783","0","1096","6"
"8","Gurdaspur","10","26949","10","26083","1","865","1"
"9","Pathankot","25","24561","25","24058","0","495","8"
"10","Fazilka","10","23408","18","22857","0","545","6"
"11","Muktsar","6","22560","9","22019","0","539","2"
"12","Kapurthala","21","22054","14","21466","1","583","5"
"13","Ropar","7","17945","4","17487","0","455","3"
"14","Ferozepur","7","17906","8","17368","0","537","1"
"15","Mansa","3","17231","1","16837","0","392","2"
"16","Faridkot","16","16802","18","16459","0","338","5"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","14","13416","16","13004","0","409","3"
"19","FG Sahib","7","11841","5","11485","0","354","2"
"20","Moga","1","10989","3","10734","1","255","0"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","4","7502","8","7151","0","349","2"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","558","759646","462","741712","4","17751","183"
