"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","292901","19281762"
"2","Total No. of patients tested Positive","558","759646"
"3","No. of patients discharged","462","741712"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","4693"
"6","Test conducted on the day","","7529"
"7","Positive cases on the day","","32"
"8","Number of active Cases","","183"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","6"
"13","Total Healthcare Workers vaccinated with 1st dose","","218554"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117031"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","33"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209489"
"18","Frontline Workers vaccinated with 2nd dose on the day","","107"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009991"
"20","Above 45 Vaccinated with 1st dose on the day","","476"
"21","Total Above 45 Vaccinated with 1st dose","","8280301"
"22","Above 45 Vaccinated with 2nd dose on the day","","8320"
"23","Total Above 45 Vaccinated with 2nd dose","","6986340"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1594"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12464619"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18891"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9308100"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1950"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1032290"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4917"
"31","Total 15-17 years age group Vaccinated with 2nddose","","603310"
"32","12-14 years age group Vaccinated with 1st dose on the day","","6011"
"33","Total 12-14 years age group Vaccinated with 1st dose","","452982"
"34","12-14 years age group Vaccinated with 2nddose on the day","","10153"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","110079"
"36","Precautionary dose given on the day","","4226"
"37","Total Precautionary dose given","","548273"
"38","Total Vaccination 1st dose on the day","","2082"
"39","Total Vaccination 2nd dose on the day","","27351"
"40","Total Vaccination 1st and 2nd dose on the day","","29433"
