"1","Total Samples taken","*18377004"
"2","Sample collected on the day","24134"
"3","Test conducted on the day","23613"
"4","Total No. of patients tested Positive","757257"
"5","No. of patients discharged","738040"
"6","Positive cases on the day","180"
"7","Number of active Cases","1546"
"8","Total Deaths reported","17671"
"9","No. of Patients on oxygen support","109"
"10","Patients at critical care Level-3 facilities","41"
"11","Patients who are critical and on ventilator support","16"
"12","Healthcare Workers vaccinated with 1st dose on the day","1"
"13","Total Healthcare Workers vaccinated with 1st dose","218353"
"14","Frontline Workers vaccinated with 1st dose on the day","9"
"15","Total Frontline Workers vaccinated with 1st dose","1116520"
"16","Healthcare Workers vaccinated with 2nd dose on the day","55"
"17","Total Healthcare Workers vaccinated with 2nd dose","204904"
"18","Frontline Workers vaccinated with 2nd dose on the day","1338"
"19","Total Frontline Workers vaccinated with 2nd dose","987687"
"20","Above 45 Vaccinated with 1st dose on the day","3593"
"21","Total Above 45 Vaccinated with 1st dose","8127001"
"22","Above 45 Vaccinated with 2nd dose on the day","3115"
"23","Total Above 45 Vaccinated with 2nd dose","6467679"
"24","18-44 years age group Vaccinated with 1st dose on the day","6489"
"25","Total 18-44 years age group Vaccinated with 1st dose","12125924"
"26","18-44 years age group Vaccinated with 2nd dose on the day","5529"
"27","Total 18-44 years age group Vaccinated with 2nd dose","8143046"
"28","15-17 years age group Vaccinated with 1st dose on the day","580"
"29","Total 15-17 years age group Vaccinated with 1st dose","749609"
"30","15-17 years age group Vaccinated with 2nd dose on the day","657"
"31","Total 15-17 years age group Vaccinated with 2nddose","76869"
"32","Precautionary dose given on the day","1228"
"33","Total Precautionary dose given","379432"
"34","Total Vaccination 1st dose on the day","10092"
"35","Total Vaccination 2nd dose on the day","10037"
"36","Total Vaccination 1st and 2nd dose on the day","20129"
