"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20659","","4159","","24818",""
"2","Total Active Cases","1044 
(5.1%)","","200 
(4.8%)","","1244 
(5.01%)",""
"3","Total Cured/ Discharged","19451 
(94.1%)","","3901                                  
(93.8%)","","(94.1%)",""
"4","Total Died","164 
(0.79%)","","58 
(1.4%)","","222 
(0.89%)",""
"5","Total Positive cases admitted in COVID 
Hospital","30","","13","","43",""
"6","Total Positive cases in Home Isolation","859","","187","","1046",""
"7","COVID Care Centre","110","","0","","110",""
"8","Facility Isolation","45","","0","","45",""
"9","No. of Samples Tested (Today)","587","","303","","890",""
"10","No. of Samples Positive (Today)","129","","34","","163",""
"11","No. of Samples Negative (Today)","458","","269","","727",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","145 
          00 
      00 
           41 
          186"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(23/01/2022)","","Test Done Today 
(24/01/2022)","","Cumulative"
"","","a)  RTPCR","271128","","675","","271803"
"","","b)  TRUENAT","11517","","08","","11525"
"","","c)  RAT","342256","","207","","342463"
"","","d)  CBNAAT","288","","00","","288"
"","","TOTAL","625189","","890","","626079"
