"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23582","","5305","","28887",""
"2","Total Active Cases","104 
(0.44%)","","15 
(0.28%)","","119 
(0.41%)",""
"3","Total Cured/Discharged","23310 
(98.8%)","","5230 
(98.58%)","","28540 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","68","","15","","83",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","16","","00","","16",""
"9","No. of Samples Tested (Today)","387","","34","","421",""
"10","No. of Samples Positive (Today)","15","","00","","15",""
"11","No. of Samples Negative (Today)","372","","34","","406",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
00 
02 
00 
49"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(30/07/2022)","","Test Done Today 
(31/07/2022)","","Cumulative"
"","","a)RTPCR","332227","","197","","332424"
"","","b)TRUENAT","14642","","07","","14649"
"","","c)RAT","355371","","217","","355588"
"","","d)  CBNAAT","1159","","00","","1159"
"","","TOTAL","703399","","721","","704120"
