"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18252","","3678","","21930",""
"2","Total Active Cases","160 
(0.88%)","","21 
(0.57%)","","181 
(0.83%)",""
"3","Total Cured/ Discharged","17933 
(98.3%)","","3599                                  
(97.8%)","","(98.2%)",""
"4","Total Died","159 
(0.87%)","","58 
(1.6%)","","217 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","107","","21","","128",""
"7","COVID Care Centre","22","","0","","22",""
"8","Facility Isolation","15","","0","","15",""
"9","No. of Samples Tested (Today)","454","","452","","906",""
"10","No. of Samples Positive (Today)","15","","12","","27",""
"11","No. of Samples Negative (Today)","438","","440","","878",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","240 
           46 
       00 
            00 
          286"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(17/12/2021)","","Test Done Today 
(18/12/2021)","","Cumulative"
"","","a)  RTPCR","243112","","712","","243824"
"","","b)  TRUENAT","11171","","05","","11176"
"","","c)  RAT","336288","","189","","336477"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","590743","","906","","591649"
