"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","629"
"2","Number of persons tested positive today in Tamil Nadu","137"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-2"
"","Total","139$"
"3","Total Number of persons tested positive till date","34,55,613"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,066/ 
6,66,40,392@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,049/ 
6,54,63,066"
"6","No. of Male / Female / Transgender tested positive today","96/43/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,679/14,38,896/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","52/ 
34,16,959"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
