"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","769","17","0","2","99"
"2","ALWAR","1544","9","0","25","99"
"3","BANSWARA","164","0","0","0","7"
"4","BARAN","268","2","0","1","6"
"5","BARMER","96","0","0","0","4"
"6","BHARATPUR","240","3","0","1","18"
"7","BHILWARA","373","5","0","0","31"
"8","BIKANER","686","7","0","2","42"
"9","BUNDI","126","3","0","0","8"
"10","CHITTORGARH","314","3","0","14","48"
"11","CHURU","215","0","0","0","0"
"12","DAUSA","670","7","0","9","89"
"13","DHOLPUR","281","7","0","2","15"
"14","DUNGARPUR","150","0","0","1","28"
"15","GANGANAGAR","213","0","0","0","4"
"16","HANUMANGARH","304","3","0","4","9"
"17","JAIPUR","1866","37","1","62","334"
"18","JAISALMER","10","1","0","4","10"
"19","JALORE","146","0","0","0","3"
"20","JHALAWAR","327","2","0","1","11"
"21","JHUNJHUNU","647","0","0","0","11"
"22","JODHPUR","875","28","0","18","108"
"23","KARAULI","508","0","0","0","5"
"24","KOTA","993","11","0","14","51"
"25","NAGAUR","414","1","0","9","25"
"26","PALI","600","1","0","1","48"
