"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22721","","5271","","27992",""
"2","Total Active Cases","192 
(0.85%)","","15 
(0.28%)","","207 
(0.74%)",""
"3","Total Cured/ Discharged","22361 
(98.4%)","","5196                                  
(98.6%)","","(98.4%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","0","","14",""
"6","Total Positive cases in Home Isolation","70","","15","","85",""
"7","COVID Care Centre","108","","00","","108",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","597","","103","","700",""
"10","No. of Samples Positive (Today)","18","","03","","21",""
"11","No. of Samples Negative (Today)","579","","100","","679",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","402 
        00 
        00 
        35 
       437"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(25/01/2022)","","Test Done Today 
(26/02/2022)","","Cumulative"
"","","a)  RTPCR","302102","","624","","302726"
"","","b)  TRUENAT","12240","","21","","12261"
"","","c)  RAT","346525","","52","","346577"
"","","d)  CBNAAT","817","","03","","820"
"","","TOTAL","661684","","700","","662384"
